Default Dataset,
X,Y
18.130193905817173,108.19672131147547
18.130193905817173,113.93442622950826
18.37950138504155,113.11475409836072
18.545706371191137,105.73770491803282
18.545706371191137,113.93442622950826
18.337950138504155,131.1475409836066
18.753462603878116,133.6065573770492
18.753462603878116,139.344262295082
18.047091412742382,146.72131147540986
18.213296398891966,145.08196721311478
17.797783933518005,168.85245901639348
18.047091412742382,159.83606557377053
18.17174515235457,155.73770491803282
18.254847645429365,152.45901639344265
18.42105263157895,152.45901639344265
18.545706371191137,152.45901639344265
18.670360110803323,149.1803278688525
19.002770083102494,154.09836065573774
19.085872576177287,157.3770491803279
19.168975069252078,167.2131147540984
18.83656509695291,168.85245901639348
19.168975069252078,197.54098360655743
20.332409972299168,168.85245901639348
20.789473684210527,175.4098360655738
20.62326869806094,185.2459016393443
20.166204986149584,147.5409836065574
20.45706371191136,131.96721311475414
20.332409972299168,120.4918032786886
22.576177285318558,129.50819672131152
22.65927977839335,178.68852459016398
22.285318559556785,195.90163934426235
22.991689750692522,194.26229508196727
22.825484764542935,194.26229508196727
22.78393351800554,222.13114754098365
23.116343490304708,227.0491803278689
23.116343490304708,244.26229508196727
24.81994459833795,220.49180327868856
24.94459833795014,222.9508196721312
25.443213296398895,226.22950819672135
25.110803324099724,206.5573770491804
24.445983379501385,183.60655737704923
25.193905817174517,182.7868852459017
26.56509695290859,208.19672131147547
26.939058171745152,208.19672131147547
26.897506925207757,199.18032786885252
27.022160664819943,262.29508196721315
27.60387811634349,260.6557377049181
27.437673130193907,283.6065573770493
25.443213296398895,290.1639344262296
28.642659279778393,229.50819672131152
29.141274238227147,232.7868852459017
29.224376731301938,237.70491803278694
29.55678670360111,227.86885245901644
29.764542936288088,246.7213114754099
29.390581717451525,195.0819672131148
29.55678670360111,197.54098360655743
29.224376731301938,172.13114754098365
30.927977839335178,230.32786885245906
32.09141274238227,231.1475409836066
32.29916897506925,229.50819672131152
31.883656509695292,224.59016393442627
31.883656509695292,220.49180327868856
31.925207756232687,204.9180327868853
32.42382271468144,209.016393442623
32.631578947368425,192.62295081967218
33.50415512465374,211.47540983606564
34.37673130193906,236.8852459016394
34.29362880886427,209.016393442623
33.67036011080332,194.26229508196727
33.83656509695291,190.16393442622956
33.878116343490305,184.42622950819677
34.08587257617729,182.7868852459017
33.75346260387812,168.03278688524594
34.54293628808865,163.1147540983607
34.958448753462605,172.9508196721312
35.16620498614959,166.39344262295086
35.62326869806094,217.21311475409843
35.664819944598335,195.0819672131148
34.875346260387815,191.80327868852464
35.041551246537395,186.06557377049185
35.33240997229917,187.70491803278694
35.415512465373965,185.2459016393443
35.62326869806094,165.57377049180332
35.415512465373965,150.00000000000003
35.041551246537395,147.5409836065574
34.70914127423823,142.62295081967216
34.37673130193906,127.0491803278689
27.06371191135734,168.85245901639348
