NPQ,,ETR,
X,Y,X,Y
-0.8979496065265664,0.011124595469253151,-2.824858757062117,-0.26431718061678566
17.43330806439971,0.011124595469253151,21.186440677966118,11.629955947136523
49.86553317450006,0.060286317871266704,52.259887005649716,26.16740088105729
69.60688758934376,0.15158665947500793,69.20903954802259,33.03964757709247
93.57853223593975,0.32014113628191154,94.63276836158198,42.29074889867843
138.70162804129671,0.5659497482919793,138.4180790960452,54.44933920704844
199.33578802974517,0.9732897339086639,199.15254237288136,68.19383259911896
275.4810122012852,1.570253505933116,275.42372881355936,76.65198237885463
378.41807450725594,2.188286587558431,377.1186440677966,86.16740088105726
616.7244242292977,2.9959434555915134,617.2316384180791,91.7180616740088
919.8952241715402,3.2909137900035947,920.9039548022599,97.0044052863436
