Default Dataset,
X,Y
5.736263736263735,3.7037037037036953
6,11.111111111110858
6.263736263736263,29.629629629629562
6.428571428571429,62.96296296296282
6.758241758241757,107.40740740740739
6.923076923076923,140.74074074074065
7.1208791208791204,196.29629629629608
7.252747252747252,229.62962962962956
7.483516483516484,277.7777777777778
7.846153846153847,370.3703703703702
8.010989010989011,418.5185185185185
8.175824175824175,466.6666666666665
8.307692307692307,503.7037037037037
8.472527472527473,551.8518518518517
8.637362637362637,614.8148148148148
8.835164835164834,603.7037037037036
8.868131868131869,700
8.967032967032967,759.2592592592592
9.131868131868131,766.6666666666667
9.296703296703296,825.925925925926
9.494505494505495,848.1481481481482
9.659340659340659,914.8148148148148
9.824175824175823,1014.8148148148148
9.89010989010989,959.2592592592592
10.12087912087912,988.8888888888889
10.351648351648352,1066.6666666666665
10.483516483516482,981.4814814814814
10.978021978021976,1074.0740740740741
11.340659340659341,1162.962962962963
11.736263736263735,1181.4814814814815
12.164835164835164,1085.1851851851852
12.296703296703297,1055.5555555555557
12.626373626373626,988.8888888888889
12.79120879120879,940.7407407407408
13.153846153846152,940.7407407407408
13.285714285714286,870.3703703703703
13.516483516483516,870.3703703703703
13.615384615384615,785.1851851851852
13.846153846153845,788.8888888888889
14.043956043956042,781.4814814814814
14.175824175824173,700
14.274725274725276,651.8518518518518
14.472527472527473,651.8518518518518
14.637362637362637,581.4814814814815
14.835164835164834,551.8518518518517
15.032967032967035,533.3333333333333
15.164835164835162,485.185185185185
15.263736263736265,433.33333333333326
15.428571428571429,422.2222222222222
15.659340659340659,396.2962962962963
15.857142857142856,351.85185185185173
15.98901098901099,325.92592592592587
16.186813186813183,292.5925925925926
16.31868131868132,266.6666666666665
16.516483516483518,233.33333333333326
16.64835164835165,196.29629629629608
16.879120879120876,170.3703703703702
17.10989010989011,148.14814814814804
17.373626373626372,133.33333333333326
17.637362637362635,103.7037037037037
17.901098901098898,92.59259259259238
18.230769230769226,66.66666666666652
18.296703296703292,44.44444444444434
18.59340659340659,44.44444444444434
18.857142857142854,33.33333333333326
19.05494505494506,22.222222222221944
