Dataset 0,
X,Y
5.835164835164836,0.15901639344262286
5.9010989010989015,0.1081967213114754
6.0989010989010985,0.08688524590163937
6.296703296703296,0.05573770491803276
6.395604395604396,0.07868852459016396
6.626373626373626,0.07540983606557372
6.824175824175825,0.12950819672131142
6.956043956043956,0.04426229508196711
7.1208791208791204,0.08852459016393444
7.285714285714285,0.09180327868852445
7.417582417582418,0.032786885245901676
7.780219780219779,0.04754098360655734
8.142857142857142,0.07377049180327866
7.912087912087912,0.08524590163934431
8.274725274725274,0.1081967213114754
8.67032967032967,0.12459016393442612
8.472527472527473,0.17213114754098358
8.76923076923077,0.1934426229508196
8.967032967032967,0.17704918032786876
9.098901098901099,0.2557377049180327
9.362637362637361,0.2475409836065574
9.494505494505495,0.33442622950819667
9.659340659340659,0.31967213114754095
9.824175824175823,0.4032786885245901
10.087912087912088,0.37868852459016383
10.31868131868132,0.44262295081967207
10.978021978021976,0.5377049180327869
11.175824175824175,0.5934426229508196
11.340659340659341,0.562295081967213
11.505494505494504,0.5540983606557377
11.637362637362637,0.5295081967213113
12.659340659340659,0.640983606557377
12.923076923076925,0.6672131147540983
13.120879120879119,0.6655737704918032
13.351648351648352,0.6491803278688524
13.68131868131868,0.6491803278688524
13.879120879120878,0.6688524590163933
13.912087912087914,0.6360655737704917
14.175824175824173,0.6360655737704917
14.340659340659341,0.6229508196721311
14.406593406593407,0.5885245901639343
14.67032967032967,0.5803278688524589
14.868131868131867,0.5983606557377048
15.164835164835162,0.560655737704918
15.32967032967033,0.5147540983606557
15.494505494505495,0.46229508196721303
15.659340659340659,0.4737704918032786
15.824175824175823,0.43114754098360647
16.153846153846153,0.38360655737704913
16.31868131868132,0.31639344262295077
16.483516483516482,0.35081967213114745
16.714285714285715,0.3032786885245901
16.912087912087912,0.2573770491803279
16.978021978021978,0.2163934426229508
17.07692307692308,0.19672131147540983
17.340659340659343,0.19508196721311477
17.472527472527474,0.20327868852459008
17.57142857142857,0.0540983606557377
17.769230769230766,0.07049180327868843
18,0.050819672131147464
18.16483516483516,0.024590163934426146
18.659340659340657,0.01803278688524579
18.824175824175825,0.006557377049180357
18.989010989010985,0.040983606557376984
